亲爱的，晚饭做什么吃？	红烧鲤鱼和鲜蘑油菜。
服务员，能过来一下吗？	好的，有什么问题吗？
今天所有的食物闻起来都很香，我都流口水了。	我们在这儿排队吧。这一队看起来短些。
屠茂，我饿了，去吃点东西吧。	我也饿了，这附近有什么可以吃的吗？
嗨，我是乔治，今晚我将为您服务。您现在准备点菜还是稍待一会呢？	我现在点菜，我要烤鸡和玉米副餐。
哇！怎么塞车了？	也许只是都想在周末早先一步离开市区，没有人在夏天想待在这里。
你今晚想去外面吃饭吗?	当然想了.你心里想好去哪儿了吗?
你被邀请过吃中国式的午餐吗?	当然了,北京人的热情好客是出了名的.
在中国,说起咖啡,人们往往会想到异国情调,小资的优越生活方式.喝咖啡通常被认为是有修养的中产阶级的习惯.	也许,这便是有些年轻人动不动就花一整个下午泡在咖啡吧,摆开笔记本电脑,上上网,或者只是打打文件的原因吧.他们悠闲地品着咖啡,其实也是在炫耀自己.
在中国吃饭,千万不要忘记保持谦虚礼让。	你是说,吃饭时最好别说太多的话?在西方也是如此嘛。
是日本料理店吗？	是的。需要我效劳吗？
露西，好久不见，最近还好吧？	就那样吧，忙着写论文呢．
这是我到北京的第一个晚上，我该吃什么？	你应该试试北京烤鸭。
琳达，你想要些糖或曲奇饼吗？	不，不要诱惑我。我变胖了，我必须减下来。
艾莉森，你要再吃一些吗?	不，谢谢。我够了。
嘿，简，你看起来很不错。	你也是。你减肥了吗？
噢，亲爱的，我的体重又上涨了。	我并不觉得奇怪，你吃太多了。
玛丽，你的蛋要怎么煎？辛迪喜欢吃炒蛋。	煎单面就好，麻烦你了。
你早餐通常都吃什么？煎饼还是烘饼？	我早餐通常都吃麦片。
我很喜欢中国菜。	哪一道或哪些中国菜是你最喜欢的？
我又和妈妈吵架了,鲍里斯。	哦!艾瑞斯,这次又是为了什么?
嘿，玛丽。我们回来了。你吃过了吗？	我早餐吃了一点面包。
桌上有这么多餐具。我要先用哪些餐具？	使用餐具的顺序是由外而内。
打扰了！	是的。我能帮您吗？
想送一些中国的？	一些什么？
我想帮忙煮晚饭。	真的？你开玩笑吧？
嘿，你说要人帮忙煮饭。想让我做点什么呢？	谢谢你能过来帮忙。你能先帮忙把蔬菜去皮吗？我把它们放在水槽里了，去皮刀在那儿。
妈妈，我讨厌吃蔬菜！	你可以不吃。我不介意。
今晚聚会！你认为我们需要什么饮料呢？	呃，不是所有人都喝啤酒吧。确保还要写软饮料和果汁。
有什么能帮你的吗？	我要一个双层起司汉堡。
这次我请.麻烦结账.	给您.
好吧,那么你今晚为我准备了什么节目?	真的很抱歉,伊桑.我找了又找,但恐怕真的没办法在城里找到一家荷兰餐馆.最接近你要求的就是一家德国餐馆,离这儿大约15分钟的路程.
你喜欢烹饪吗？	我喜欢。我很喜欢用不同的配料做出美味的饭菜，然后看着朋友们享用它。能给我强烈的满足感。你喜欢吗？
想好点什么了吗，女士？	是，你们有什么推荐的吗？
女士，想好要吃什么了吗？	是的，请给我来一份牛排和蘑菇。
先生，要先看下菜单吗？	好的，谢谢。
在你们国家吃什么肉比较多？	我们通常吃鸡肉、猪肉和牛肉。在你们国家吃这些肉也很多，不是吗？
戴玲。	哦，亨利，我好久没见你了。请进。我给你挂衣服。最近怎么样？
